5 DIgit NTD ID,Agency,Organization Type,Mode,Type of Service,Rail (Y/N),Primary UZA Code,Primary UZA Name,Primary UZA Sq Miles,Primary UZA Population,Service Area Sq Miles,Service Area Population,Year,Month,Vehicles,Vehicle Revenue Miles,Vehicle Revenue Hours,Ridership,Total Events,Total Fatalities,Total Injuries
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,MB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,4,120,463754,37524,800643,3,1,5
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,MB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,5,120,452897,36694,788940,1,0,1
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,6,63,200440,11918,26965,1,0,1
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,MB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,6,120,463721,37504,713309,5,0,7
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,CB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2014,7,23,37450,1775,27582,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,CB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2014,8,23,36402,1760,36017,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,CB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2014,9,23,36278,1765,39935,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,CB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2014,10,22,37585,1842,37445,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,CB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2014,11,22,31213,1533,30464,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,CB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2014,12,22,36020,1762,29906,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,CB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,1,22,32774,1610,32106,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,CB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,2,22,29504,1442,25139,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,CB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,3,22,35500,1728,30213,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,CB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,4,22,36090,1778,34218,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,CB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,5,22,33108,1629,31731,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,CB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,6,22,35504,1707,24182,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,MB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,2,113,389106,30776,632436,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2014,7,50,216832,12979,28072,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2014,8,63,191195,11226,25847,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2014,9,63,206341,12142,27250,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2014,10,63,214930,12928,28991,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2014,11,63,186002,11464,24593,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2014,12,63,201971,12362,25809,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,2,63,158533,10227,19897,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,3,63,188718,11881,25519,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,5,63,189916,11501,25360,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,TX,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2014,7,63,60522,1847,7685,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,TX,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2014,8,57,83613,2513,10821,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,TX,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2014,9,63,83051,2523,10140,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,TX,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2014,10,63,89415,2709,10774,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,TX,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2014,11,50,73287,2218,9123,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,TX,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2014,12,50,72966,2242,8988,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,TX,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,1,50,78321,2377,9495,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,TX,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,2,50,68785,2097,8390,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,TX,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,3,50,94801,2807,11401,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,TX,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,4,50,100048,2924,11992,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,TX,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,5,50,83095,2429,9992,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,TX,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,6,50,81820,2395,10004,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CB,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2014,7,16,23963,819,17815,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CB,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2014,8,16,22873,781,17095,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CB,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2014,9,16,22873,782,17566,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CB,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2014,10,16,25052,856,18608,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CB,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2014,11,16,20695,707,14142,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CB,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2014,12,16,23924,817,15048,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CB,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2015,1,18,24826,802,17938,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CB,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2015,2,18,16917,527,15047,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CB,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2015,3,18,25944,840,18879,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CB,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2015,4,18,26949,865,18073,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CB,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2015,5,18,24137,767,16407,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CB,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2015,6,18,26793,870,18247,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,VP,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2014,7,48,79698,1643,14614,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,VP,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2014,8,49,79992,1615,14641,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,VP,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2014,9,49,81524,1699,15120,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,VP,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2014,10,47,82962,1703,14689,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,VP,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2014,11,48,69177,1435,12337,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,VP,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2014,12,48,71881,1480,12644,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,VP,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2015,1,47,75074,1560,13337,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,VP,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2015,2,47,67134,1418,12409,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,VP,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2015,3,41,57009,1321,12384,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,VP,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2015,4,42,69495,1549,13624,0,0,0
