Fatalities_sum,Injuries_sum,Events_sum,VRM_sum,Ridership_sum,P_UZA_SM_avg,P_UZA_P_avg,SA_SM_avg,SA_P_avg,M_CB_Count,M_CR_Count,M_DR_Count,M_MB_Count,M_VP_Count,M_LR_Count,M_OTHER_Count,OT_A_Count,OT_B_Count,OT_C_Count,OT_D_Count,OT_E_Count,OT_F_Count,OT_G_Count,OT_H_Count,OT_I_Count,OT_J_Count,OT_OTHER_Count,ToS_DO_Count,ToS_PT_Count,ToS_TN_Count,ToS_TX_Count,Safety Ratio
0,0,0,615117,583449,325.0,569499.0,448.8,389778.4,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.0
0,0,1,660439,570392,325.0,569499.0,448.8,389778.4,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.15141443797231843
0,1,1,617239,567775,325.0,569499.0,448.8,389778.4,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.3240235953982169
0,0,1,598035,502754,325.0,569499.0,448.8,389778.4,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.1672142934778065
0,0,0,592813,461172,325.0,569499.0,448.8,389778.4,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.0
0,1,2,539889,447427,325.0,569499.0,448.8,389778.4,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.5556697765651828
0,0,1,622999,531870,325.0,569499.0,448.8,389778.4,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.16051390130642262
0,0,1,622670,626588,325.0,569499.0,448.8,389778.4,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.16059871199832979
0,0,0,631780,636635,325.0,569499.0,448.8,389778.4,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.0
0,1,1,608239,585065,325.0,569499.0,448.8,389778.4,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.3288181126169154
0,1,2,592338,464596,325.0,569499.0,448.8,389778.4,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.506467591138843
0,6,1,582828,497603,325.0,569499.0,456.0,351433.0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1.2010404441790716
0,0,0,580735,570089,325.0,569499.0,456.0,351433.0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0
0,0,0,651090,562454,325.0,569499.0,456.0,351433.0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0
0,0,0,591740,551054,325.0,569499.0,456.0,351433.0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0
0,0,0,624414,513053,325.0,569499.0,456.0,351433.0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0
0,5,3,608624,453939,325.0,569499.0,456.0,351433.0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1.3144404427035412
0,0,2,572970,432920,325.0,569499.0,456.0,351433.0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.3490584149257378
0,3,1,654469,518276,325.0,569499.0,456.0,351433.0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.6111825006226422
0,0,1,623664,612972,325.0,569499.0,456.0,351433.0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.16034274865953463
0,0,0,660818,646389,325.0,569499.0,456.0,351433.0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0
0,0,0,632091,575418,325.0,569499.0,456.0,351433.0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0
0,0,3,589392,471514,325.0,569499.0,456.0,351433.0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.5089991041615767
0,0,0,627259,494588,325.0,569499.0,448.8,389748.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0
0,0,0,610125,548714,325.0,569499.0,448.8,389748.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0
0,0,0,666735,559697,325.0,569499.0,448.8,389748.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0
0,1,1,650666,556675,325.0,569499.0,448.8,389748.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.30737736411615174
0,1,2,652022,522970,325.0,569499.0,448.8,389748.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.4601071742977998
0,0,2,599910,439664,325.0,569499.0,448.8,389748.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.33338334083445853
0,0,2,602969,438376,325.0,569499.0,448.8,389748.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.3316920107003843
0,0,1,655881,555433,325.0,569499.0,448.8,389748.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.15246668221826826
0,0,1,591689,574940,325.0,569499.0,448.8,389748.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.16900770506127374
0,0,3,677619,654482,325.0,569499.0,448.8,389748.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.4427266649843053
0,0,0,615373,554343,325.0,569499.0,448.8,389748.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0
0,0,3,579915,466101,325.0,569499.0,448.8,389748.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.5173171930369106
0,2,3,618452,499504,325.0,569499.0,448.8,389205.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.8084701803858667
0,0,0,592253,560589,325.0,569499.0,448.8,389205.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0
0,0,0,627764,563709,325.0,569499.0,448.8,389205.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0
0,0,1,658115,617917,325.0,569499.0,448.8,389205.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.15194912743213573
0,0,1,644389,574733,325.0,569499.0,448.8,389205.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.15518576512013707
