Fatalities_sum,Injuries_sum,Events_sum,VRM_sum,Ridership_sum,OT_A_Count,OT_B_Count,OT_C_Count,OT_D_Count,OT_E_Count,OT_F_Count,OT_G_Count,OT_H_Count,OT_I_Count,OT_J_Count,OT_OTHER_Count,ToS_DO_Count,ToS_PT_Count,ToS_TN_Count,ToS_TX_Count,P_UZA_SM_National,P_UZA_P_National,SA_SM_National,SA_P_National,M_CB,M_CR,M_DR,M_LR,M_MB,M_OTHER,M_VP,Safety Ratio
11,79,57,55252680,341172883,11.0,1,0,2,0,1,0,0,0,0,0,14.0,1,0,0,19569.0,72751547.0,11010.0,40163978.0,0,0,0,0,0,1,0,0.2660504431640239
4,41,31,8517966,40107904,16.0,2,0,1,3,1,0,0,0,0,0,21.0,2,0,0,22114.0,80454272.0,23143.0,64696485.0,0,0,0,1,0,0,0,0.8922317839728405
7,664,372,146227945,427439649,228.0,195,5,5,5,12,3,3,6,2,7,306.0,165,0,0,75729.0,201830491.0,122016.0,119566616.0,0,0,0,0,1,0,0,0.7132699567103948
0,0,0,442030,2063867,2.0,2,0,0,0,0,1,0,1,0,0,4.0,2,0,0,4570.0,15317442.0,1484.0,5914802.0,0,0,0,0,0,1,0,0.0
0,4,2,630416,4490566,7.0,0,0,0,0,1,0,0,0,0,0,7.0,1,0,0,9611.0,41627348.0,9168.0,27725437.0,0,0,0,0,0,1,0,0.9517524935915332
0,17,8,505696,4226830,5.0,5,0,0,0,0,1,0,0,0,0,9.0,2,0,0,7832.0,23710948.0,3328.0,9021888.0,0,0,0,0,0,1,0,4.943681579446941
0,3,2,921134,7905485,3.0,2,0,0,0,0,0,0,0,0,0,5.0,0,0,0,5739.0,16687282.0,6537.0,10955025.0,0,0,0,0,0,1,0,0.5428091895424553
0,0,0,2671,144271,0.0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,524.0,1849898.0,11.0,72832.0,0,0,0,0,0,1,0,0.0
0,11,4,18380732,3114798,40.0,11,6,0,2,0,1,1,0,10,1,44.0,28,0,0,37796.0,118255916.0,58857.0,99308020.0,0,0,0,0,0,0,1,0.08160719605726258
0,0,0,261445,662753,4.0,0,0,0,1,0,0,0,0,0,0,0.0,5,0,0,5374.0,24886529.0,5078.0,22057306.0,0,0,0,0,0,1,0,0.0
